Internal Reference,Name,aw_mfg_part_no,Product Category,Description,Manufacturer,Company,,,
0052-0000002-00-1007,A-9653-0139,A-9653-0139,Magnet,Q LIMIT SWITCH MAGNET,Renishaw,All World Connect,,,
0052-0000003-00-1007,A-9653-0143,A-9653-0143,Magnet,REFERENCE MARK SELECTOR MAGNET,Renishaw,All World Connect,,,
0055-0000069-00-1007,712411/RGH40-X-05-F-05-R,712411/RGH40-X-05-F-05-R,Motor/Motor Encoder/Motor Gear,"ENCODER READHEAD,RGH40",Renishaw,All World Connect,,,
0055-0000138-00-1007,LM10IC005BA10F00,LM10IC005BA10F00,Motor/Motor Encoder/Motor Gear,ENCODER READHEAD-5UM RES-,Renishaw,All World Connect,,,
0055-0000188-00-1007,RGH25F15J00A,RGH25F15J00A,Motor/Motor Encoder/Motor Gear,ENCODER READ HEAD RENISHA,Renishaw,All World Connect,,,
0055-0000261-00-1007,V2BCY15D40A,V2BCY15D40A,Motor/Motor Encoder/Motor Gear,"READ HEAD,VIONIC,OUTPUT,Y AXIS",Renishaw,All World Connect,,,
0055-0000262-00-1007,V2BCY15D40B,V2BCY15D40B,Motor/Motor Encoder/Motor Gear,"ENCODER VIONIC,OUTPUT",Renishaw,All World Connect,,,
0055-0000265-00-1007,RLC2ICA2D0B00A00,RLC2ICA2D0B00A00,Motor/Motor Encoder/Motor Gear,MAGNETIC READHEAD,Renishaw,All World Connect,,,
0057-0000513-00-1007,"A-9531-0237, RGH22/26","A-9531-0237, RGH22/26",Multicore Shield Cable,"CABLE,DB SHLD,12COND,28GA",Renishaw,All World Connect,,,
0057-0000514-00-1007,"A-9531-0238,RGH22/26","A-9531-0238,RGH22/26",Multicore Shield Cable,EXTENSION CABLE 14 CORE,Renishaw,All World Connect,,,
0057-0000515-00-1007,A-9541-0043,A-9541-0043,Multicore Shield Cable,"CBL,8 COND,HI-FLEX DBL SH",Renishaw,All World Connect,,,
0056-0000150-00-1037,02040805 GRY,02040805 GRY,Multicore Cable,CBL 5C*#8 UNSHLD CC600,SAB Cable,All World Connect,,,
0056-0000151-00-1037,02041403 GRY,02041403 GRY,Multicore Cable,CBL 3C*#14 UNSHLD CC600,SAB Cable,All World Connect,,,
0056-0000152-00-1037,02041404 GRY,02041404 GRY,Multicore Cable,CBL 4C*#14 UNSHLD CC600,SAB Cable,All World Connect,,,
0056-0000153-00-1037,02041409 GRY,02041409 GRY,Multicore Cable,CBL 9C*#14 UNSHLD CC600,SAB Cable,All World Connect,,,
0056-0000154-00-1037,02041418 GRY,02041418 GRY,Multicore Cable,CBL 18C*#14 UNSHLD CC600,SAB Cable,All World Connect,,,
0056-0000282-00-1037,35501404 GRY,35501404 GRY,Multicore Cable,CBL 4C #14 CC 600 MTW,SAB Cable,All World Connect,,,
0056-0000788-00-1037,02040325 GRY,02040325 GRY,Multicore Cable,CBL 3C*#14 UNSHLD CC600,SAB Cable,All World Connect,,,
0056-0000808-00-1037,02041005 (5G6mm2) GRY,02041005 (5G6mm2) GRY,Multicore Cable,CBL 5C*#10 UNSHLD CC600,SAB Cable,All World Connect,,,
0056-0000866-00-1037,93330404 BLK,93330404 BLK,Multicore Cable,CABLE 4C 4AWG UNSHLD TR600S,SAB Cable,All World Connect,,,
0056-0000885-00-1037,"07522005 BLK, S 960","07522005 BLK, S 960",Multicore Cable,CABLE 5C 20AWG UNSHLD PVC 600V,SAB Cable,All World Connect,,,
0056-0000886-00-1037,02041007 (7G6mm2) GRY,02041007 (7G6mm2) GRY,Multicore Cable,CBL 7C*#10 UNSHLD CC600,SAB Cable,All World Connect,,,
0056-0000888-00-1037,93331007 BLK,93331007 BLK,Multicore Cable,CABLE 7C 10AWG UNSHLD TR600S,SAB Cable,All World Connect,,,
0057-0000138-00-1037,07772404 BLK,07772404 BLK,Multicore Shield Cable,UL21083 4PR*#24 SD960CY,SAB Cable,All World Connect,,,
0057-0000139-00-1037,"07840205, S200C 2X0.5sqmm","07840205, S200C 2X0.5sqmm",Multicore Shield Cable,"CABLE,2COND,20AWG,SHIELD",SAB Cable,All World Connect,,,
0057-0000140-00-1037,"07840403, SD200C 4X0.34sqmm","07840403, SD200C 4X0.34sqmm",Multicore Shield Cable,"CABLE,4COND,22AWG,SHIELD",SAB Cable,All World Connect,,,
0057-0000141-00-1037,"07852204, SD 960 CY","07852204, SD 960 CY",Multicore Shield Cable,CABLE 4C #22 SHLD S960CY,SAB Cable,All World Connect,,,
0057-0000142-00-1037,"07890414, SD200C TP 4X2X0.14","07890414, SD200C TP 4X2X0.14",Multicore Shield Cable,CBL 4PR 26AWG 0.14 CY SD,SAB Cable,All World Connect,,,
0057-0000143-00-1037,"07890534, SD200CTP 5X2X0.34","07890534, SD200CTP 5X2X0.34",Multicore Shield Cable,"CABLE,5TWPR,22AWG,SHIELD",SAB Cable,All World Connect,,,
0057-0000903-00-1037,L0803-9177,L0803-9177,Multicore Shield Cable,"CABLE HYBRID (6X0,25MM)+9X(2X0",SAB Cable,All World Connect,,,
0018-0001838-00-1043,MLE-106-01-G-DV,MLE-106-01-G-DV,Connector=CPC/D-Sub/IDC/BNC,CONN SKT 12P P1.0MM,Samtec,All World Connect,,,
0018-0002051-00-1043,SFM-105-03-S-D,SFM-105-03-S-D,Connector=CPC/D-Sub/IDC/BNC,"CONN,10 POS,SKT,SOLDER",Samtec,All World Connect,,,
0018-0002437-00-1043,FFSD-05-01-N,FFSD-05-01-N,Connector=CPC/D-Sub/IDC/BNC,"CONN,RCPT,IDC,10POSN,2.3A,30AW",Samtec,All World Connect,,,
0020-0001014-01-1043,CC79R-2024-01-L (R),CC79R-2024-01-L (R),Contact Terminal,TERM SKT #20~24 G10U .100 IPD1,Samtec,All World Connect,,,
0020-0001036-00-1043,CC79R-2630-01-S (R),CC79R-2630-01-S (R),Contact Terminal,TERM SKT #26~30 G30U .100 IPD1,Samtec,All World Connect,,,
0020-0001037-00-1043,CC79L-2630-01-S (L),CC79L-2630-01-S (L),Contact Terminal,TERM SKT #26~30 G30U .100 IPD1,Samtec,All World Connect,,,
0020-0001051-00-1043,CC81R-2426-01-L (R),CC81R-2426-01-L (R),Contact Terminal,TERM SKT #24~26 G10U 2MM C.L.,Samtec,All World Connect,,,
0020-0001051-01-1043,CC81L-2426-01-L (L),CC81L-2426-01-L (L),Contact Terminal,TERM SKT #24~26 G10U 2MM C.L.,Samtec,All World Connect,,,
0020-0001052-00-1043,CC81R-2830-01-L (R),CC81R-2830-01-L (R),Contact Terminal,TERM SKT #28~30 G10U 2MM C.L.,Samtec,All World Connect,,,
0020-0001052-01-1043,CC81L-2830-01-L (L),CC81L-2830-01-L (L),Contact Terminal,TERM SKT #28~30 G10U 2MM C.L.,Samtec,All World Connect,,,
0020-0001095-00-1043,CC69L-1620-01-T-SP,CC69L-1620-01-T-SP,Contact Terminal,"TERMINAL,AWG 16-20,TIN",Samtec,All World Connect,,,
0024-0000079-00-1043,10033389/FFSD-10-D-04.50-01-N,10033389/FFSD-10-D-04.50-01-N,Customize Cable with connector,IDC SKT 20P FLAT CBL,Samtec,All World Connect,,,
0024-0000360-00-1043,IDMD-05-S-12.00,IDMD-05-S-12.00,Customize Cable with connector,"IDC PLUG 10W W/CBL L:12""",Samtec,All World Connect,,,
0024-0000361-00-1043,IDMD-19-S-02.00-G,IDMD-19-S-02.00-G,Customize Cable with connector,"IDC PLUG 38W W/CBL L:2""",Samtec,All World Connect,,,
0024-0000428-00-1043,RC5-20-01-H-D-01.00-BC,RC5-20-01-H-D-01.00-BC,Customize Cable with connector,"CBL,40PIN,LATCH,BLIND CUT",Samtec,All World Connect,,,
0024-0000493-00-1043,TCSD-06-D-04.80-01-F-R,TCSD-06-D-04.80-01-F-R,Customize Cable with connector,IDC SKT DUAL END P=2MM,Samtec,All World Connect,,,
0024-0000494-00-1043,TCSD-10-D-03.13-01-F-R,TCSD-10-D-03.13-01-F-R,Customize Cable with connector,IDC SKT DUAL END P=2MM,Samtec,All World Connect,,,
0024-0000655-00-1043,PESS-02-10-L-18.00-SR,PESS-02-10-L-18.00-SR,Customize Cable with connector,"POWER STRIP,2POS,10AWG,18"",",Samtec,All World Connect,,,
0024-0000673-00-1043,TCSD-05-S-12.00-01-N,TCSD-05-S-12.00-01-N,Customize Cable with connector,"IDC SKT SINGLE END P=2MM,L=12""",Samtec,All World Connect,,,
0024-0000896-00-1043,FJH-06-R-50.00-4,FJH-06-R-50.00-4,Customize Cable with connector,"CABLE,6-PIN FFC 0.5MM,127CM",Samtec,All World Connect,,,
0024-0000997-00-1043,SFSS-04-28-G-40.00-D-NDS,SFSS-04-28-G-40.00-D-NDS,Customize Cable with connector,CABLE AWG28 4POS BOTH END L=40,Samtec,All World Connect,,,
0024-0001125-00-1043,S1SS-10-28-GF-05.00-L,S1SS-10-28-GF-05.00-L,Customize Cable with connector,"CBL AWG28 10POS BLK,1 END L5""",Samtec,All World Connect,,,
0024-0001126-00-1043,S1SS-10-28-GF-10.00-L,S1SS-10-28-GF-10.00-L,Customize Cable with connector,"CBL AWG28 10POS BLK,1 END L10""",Samtec,All World Connect,,,
0040-0000140-00-1043,IPL1-105-01-S-D-K,IPL1-105-01-S-D-K,Header,CONN HEADER VT 10POS.100,Samtec,All World Connect,,,
0040-0000200-00-1043,EHT-120-01-S-D,EHT-120-01-S-D,Header,"CONN HEADER 40POS,2ROW,P 2.0MM",Samtec,All World Connect,,,
0040-0000261-00-1043,SSW-108-02-G-D-RA / 1668366,SSW-108-02-G-D-RA / 1668366,Header,"HEADER 2X8POS,P 2.54MM,R/A,SOL",Samtec,All World Connect,,,
0040-0000282-00-1043,TSW-103-16-G-D,TSW-103-16-G-D,Header,"HEADER 2X3POS,P 2.54MM,2 ROWS",Samtec,All World Connect,,,
0044-0001372-00-1043,IPD1-04-D,IPD1-04-D,Housing,HSG PLUG 4*2P MINI-MATE,Samtec,All World Connect,,,
0044-0001373-00-1043,IPD1-05-D,IPD1-05-D,Housing,HSG PLUG 5*2P MINI-MATE,Samtec,All World Connect,,,
0044-0001374-00-1043,IPD1-06-D,IPD1-06-D,Housing,HSG PLUG 6*2P MINI-MATE,Samtec,All World Connect,,,
0044-0001375-00-1043,IPD1-07-D,IPD1-07-D,Housing,HSG PLUG 7*2P MINI-MATE,Samtec,All World Connect,,,
0044-0001376-00-1043,IPD1-10-D,IPD1-10-D,Housing,HSG PLUG 10*2P MINI-MATE,Samtec,All World Connect,,,
0044-0001377-00-1043,IPD1-15-D,IPD1-15-D,Housing,HSG PLUG 15*2P MINI-MATE,Samtec,All World Connect,,,
0044-0001378-00-1043,ISD2-05-D-M,ISD2-05-D-M,Housing,HSG SKT 5*2P LOC,Samtec,All World Connect,,,
0044-0001435-00-1043,IPBD-03-S,IPBD-03-S,Housing,"HOUSING,3 POS,RCPT,P4.19MM",Samtec,All World Connect,,,
0016-0000265-00-1045,E2BG 08 16 BK,E2BG 08 16 BK,Conduit  Fitting / Accessories,803-091-00003-00-000,Sankei,All World Connect,,,
0016-0000266-00-1045,E2KM12-24,E2KM12-24,Conduit  Fitting / Accessories,803-091-00052-00-626,Sankei,All World Connect,,,
0016-0000267-00-1045,EBG-14-16BK,EBG-14-16BK,Conduit  Fitting / Accessories,GLAND BLACK,Sankei,All World Connect,,,
0016-0000268-00-1045,EBG-8-16,EBG-8-16,Conduit  Fitting / Accessories,METAL GLAND,Sankei,All World Connect,,,
0016-0000269-00-1045,EMS-7M2 / Z694H7517020,EMS-7M2 / Z694H7517020,Conduit  Fitting / Accessories,CLAMP MULTIPLE CBL KIT 13.5MM,Sankei,All World Connect,,,
0016-0000270-00-1045,EMS-P4 / Z695H0150030,EMS-P4 / Z695H0150030,Conduit  Fitting / Accessories,PACKING D:4~5MM NBR,Sankei,All World Connect,,,
0016-0000271-00-1045,EOG-06-16,EOG-06-16,Conduit  Fitting / Accessories,GLAND E TYPE,Sankei,All World Connect,,,
0016-0000272-00-1045,EOG-08-16 BK,EOG-08-16 BK,Conduit  Fitting / Accessories,KEIGLAND,Sankei,All World Connect,,,
0016-0000273-00-1045,EPU-12,EPU-12,Conduit  Fitting / Accessories,803-091-00053-00-626,Sankei,All World Connect,,,
0016-0000313-00-1045,N29BG 20 BLK,N29BG 20 BLK,Conduit  Fitting / Accessories,FIT NW20 G1/2 RA PA66,Sankei,All World Connect,,,
0016-0000314-00-1045,N29BG 25,N29BG 25,Conduit  Fitting / Accessories,FIT NW25 G3/4 RA PA66,Sankei,All World Connect,,,
0016-0000315-00-1045,N2BG 20,N2BG 20,Conduit  Fitting / Accessories,FITTING CONDUIT,Sankei,All World Connect,,,
0016-0000316-00-1045,N90BG 20 BLK,N90BG 20 BLK,Conduit  Fitting / Accessories,FIT NW20 G1/2 RA PA6,Sankei,All World Connect,,,
0016-0000317-00-1045,N90BG-25 BLK,N90BG-25 BLK,Conduit  Fitting / Accessories,FIT NW25 G3/4 RA PA6,Sankei,All World Connect,,,
0016-0000318-00-1045,N90BG 32 BLK,N90BG 32 BLK,Conduit  Fitting / Accessories,FIT NW32 G1 RA PA6,Sankei,All World Connect,,,
0016-0000319-00-1045,NBG 20 BLK,NBG 20 BLK,Conduit  Fitting / Accessories,POLYAMIDE STRAIGHT CONNEC,Sankei,All World Connect,,,
0016-0000320-00-1045,NBG 25 BLK,NBG 25 BLK,Conduit  Fitting / Accessories,POLYAMIDE STRAIGHT CONNEC,Sankei,All World Connect,,,
0016-0000321-00-1045,N29BG 20 22 BLK,N29BG 20 22 BLK,Conduit  Fitting / Accessories,FIT NW20 G3/4 RA PA6,Sankei,All World Connect,,,
0016-0000322-00-1045,NBG-32 BLK,NBG-32 BLK,Conduit  Fitting / Accessories,POLYAMIDE STRAIGHT CONNEC,Sankei,All World Connect,,,
0016-0000323-00-1045,NBI 25 BLK,NBI 25 BLK,Conduit  Fitting / Accessories,BUSHING NW25 PA6,Sankei,All World Connect,,,
0016-0000324-00-1045,NBI 32 BLK,NBI 32 BLK,Conduit  Fitting / Accessories,BUSHING NW32 PA6,Sankei,All World Connect,,,
0016-0000325-00-1045,NBKM20-20 / L18B021,NBKM20-20 / L18B021,Conduit  Fitting / Accessories,GLAND,Sankei,All World Connect,,,
0016-0000326-00-1045,NBKM20-24 / L18B020,NBKM20-24 / L18B020,Conduit  Fitting / Accessories,GLAND,Sankei,All World Connect,,,
0016-0000327-00-1045,NHBI 25 19,NHBI 25 19,Conduit  Fitting / Accessories,FIT,Sankei,All World Connect,,,
0016-0000468-00-1045,E20G 09 16 BK,E20G 09 16 BK,Conduit  Fitting / Accessories,CABLE GLAND,Sankei,All World Connect,,,
0016-0000469-00-1045,N29BG-32 BLK,N29BG-32 BLK,Conduit  Fitting / Accessories,CONDUIT CONNECTOR,Sankei,All World Connect,,,
0016-0000470-00-1045,N20PG 32 29,N20PG 32 29,Conduit  Fitting / Accessories,CONDUIT CONNECTOR,Sankei,All World Connect,,,
0016-0000472-00-1045,E20G 10 16 BK+,E20G 10 16 BK+,Conduit  Fitting / Accessories,CABLE GLAND,Sankei,All World Connect,,,
0016-0000473-00-1045,RRG 22 16,RRG 22 16,Conduit  Fitting / Accessories,LOCKNUT,Sankei,All World Connect,,,
0016-0000474-00-1045,E2KM 08 18,E2KM 08 18,Conduit  Fitting / Accessories,CABLE GLAND,Sankei,All World Connect,,,
0016-0000475-00-1045,E20M-10-20,E20M-10-20,Conduit  Fitting / Accessories,CABLE GLAND,Sankei,All World Connect,,,
0016-0000477-00-1045,N20M-32,N20M-32,Conduit  Fitting / Accessories,CONDUIT CONNECTOR,Sankei,All World Connect,,,
0016-0000479-00-1045,E2BG 12 16 BK,E2BG 12 16 BK,Conduit  Fitting / Accessories,CABLE GLAND,Sankei,All World Connect,,,
0017-0000103-00-1045,NF 32 BLK,NF 32 BLK,Conduit /Expandable sleeve/Spi,CONDUIT 32MM NW26 PA11 R85/140,Sankei,All World Connect,,,
0017-0000104-00-1045,NS 20 BLK,NS 20 BLK,Conduit /Expandable sleeve/Spi,CONDUIT 20MM NW16 PA6 R45/90,Sankei,All World Connect,,,
0017-0000105-00-1045,NS 25 BLK,NS 25 BLK,Conduit /Expandable sleeve/Spi,CONDUIT 25MM NW22 PA6 R50/100,Sankei,All World Connect,,,
0017-0000106-00-1045,NS 32 BLK,NS 32 BLK,Conduit /Expandable sleeve/Spi,CONDUIT 32MM NW26 PA6 R85/165,Sankei,All World Connect,,,
0017-0000107-00-1045,NSBF20 / L18B019,NSBF20 / L18B019,Conduit /Expandable sleeve/Spi,CONDUIT 21.6MM NW15.3 BRD SHLD,Sankei,All World Connect,,,
0017-0000181-00-1045,NP 20 BLK,NP 20 BLK,Conduit /Expandable sleeve/Spi,CONDUIT 20MM NW16 PA6 R40/80,Sankei,All World Connect,,,
0017-0000184-00-1045,N2P 25,N2P 25,Conduit /Expandable sleeve/Spi,CONDUIT,Sankei,All World Connect,,,
0017-0000185-00-1045,NP 32,NP 32,Conduit /Expandable sleeve/Spi,CONDUIT,Sankei,All World Connect,,,
0090-0000148-00-1045,EKM12-24BK,EKM12-24BK,Terninal Blk / End Cover /Jump,CONN COVER,Sankei,All World Connect,,,
0020-0001019-00-1046,SRS-2.36Y,SRS-2.36Y,Contact Terminal,TERMINAL,Sanko,All World Connect,,,
0020-0001025-00-1046,SRS-2.36TSL,SRS-2.36TSL,Contact Terminal,TERMINAL,Sanko,All World Connect,,,
0044-0001379-00-1046,CE-2.5AL,CE-2.5AL,Housing,CONNECTOR CASING BLK 18MM,Sanko,All World Connect,,,
0024-0001094-00-1049,489-047-L10,489-047-L10,Customize Cable with connector,"PLUG CORD FOR ACE 92 FAN,L=1M",Sanyo,All World Connect,,,
0029-0000017-00-1049,109P0824H701,109P0824H701,Fan / Fan Guard / Fan Cable,FAN 80*80*15MM 24VDC 0.1A,Sanyo,All World Connect,,,
0029-0000018-00-1049,109P0912H202,109P0912H202,Fan / Fan Guard / Fan Cable,"FAN, 12V,3.72W 90X90X32",Sanyo,All World Connect,,,
0029-0000019-00-1049,109P1312S101 Sanyo,109P1312S101 Sanyo,Fan / Fan Guard / Fan Cable,"FAN 5.0""5.0""X1.5""DC",Sanyo,All World Connect,,,
0029-0000020-00-1049,109R0824H402,109R0824H402,Fan / Fan Guard / Fan Cable,"FAN,24VDC,36CFM80X80X25MM",Sanyo,All World Connect,,,
0029-0000055-00-1049,9G1224H4011,9G1224H4011,Fan / Fan Guard / Fan Cable,"FAN,119X25 24VDC,2.64W,90",Sanyo,All World Connect,,,
0029-0000056-00-1049,9G1224H402,9G1224H402,Fan / Fan Guard / Fan Cable,"FAN 24VDC,119X119X25MM",Sanyo,All World Connect,,,
0029-0000132-00-1049,109P0624H702,109P0624H702,Fan / Fan Guard / Fan Cable,"FAN,24VDC,14CFM,60X60X15",Sanyo,All World Connect,,,
0029-0000141-00-1049,"9S1212F401, 3 WIRES","9S1212F401, 3 WIRES",Fan / Fan Guard / Fan Cable,"FAN 12VDC,119X25MM,12V,0.19A",Sanyo,All World Connect,,,
0029-0000142-00-1049,"9S1212M401, 3 WIRES","9S1212M401, 3 WIRES",Fan / Fan Guard / Fan Cable,"FAN 12VDC,119X25MM,12V,0.13A",Sanyo,All World Connect,,,
0029-0000150-00-1049,109P0412F3013,109P0412F3013,Fan / Fan Guard / Fan Cable,"FAN 12VDC,40X40X28MM,TACHOMETE",Sanyo,All World Connect,,,
0029-0000152-00-1049,9G1224E401 (3 WIRES),9G1224E401 (3 WIRES),Fan / Fan Guard / Fan Cable,"FAN 24VDC,119X119X25MM,115CFM",Sanyo,All World Connect,,,
0029-0000161-00-1049,"9G0924A201, 3 WIRES","9G0924A201, 3 WIRES",Fan / Fan Guard / Fan Cable,"FAN 24VDC,92X92X32MM,0.3A",Sanyo,All World Connect,,,
0029-0000163-00-1049,"109E1724H501, 3 WIRES","109E1724H501, 3 WIRES",Fan / Fan Guard / Fan Cable,"FAN 24VDC,172X51MM,24VDC,226CF",Sanyo,All World Connect,,,
0029-0000169-00-1049,9G1224G4D011,9G1224G4D011,Fan / Fan Guard / Fan Cable,FAN 120X120X25MM 24VDC RBLS LO,Sanyo,All World Connect,,,
0029-0000176-00-1168,9LG1424P1M001,9LG1424P1M001,Fan / Fan Guard / Fan Cable,"DC FAN, 24V, 140X140X38MM, PWM",Sanyo,All World Connect,,,
0029-0000179-00-1049,"109E1724K501, 3 WIRES","109E1724K501, 3 WIRES",Fan / Fan Guard / Fan Cable,"FAN 24VDC,172X51MM,24VDC,300CF",Sanyo,All World Connect,,,
0029-0000180-00-1049,9TG48P0G01,9TG48P0G01,Fan / Fan Guard / Fan Cable,"FAN 175X69MM 48VDC,494CFM",Sanyo,All World Connect,,,
0029-0000181-00-1049,9G0624P4S001,9G0624P4S001,Fan / Fan Guard / Fan Cable,"FAN 60X25MM 24VDC,49.4CFM",Sanyo,All World Connect,,,
0029-0000183-00-1049,9GA0924F4D01,9GA0924F4D01,Fan / Fan Guard / Fan Cable,COOLING FAN 92X25MM 24VDC,Sanyo,All World Connect,,,
0029-0000186-00-1049,9G1212H1011,9G1212H1011,Fan / Fan Guard / Fan Cable,FAN 120X38MM 12VDC RBLS TACH,Sanyo,All World Connect,,,
0029-0000188-00-1049,109-719 / 19039-6082-000,109-719 / 19039-6082-000,Fan / Fan Guard / Fan Cable,FAN GUARD 140MM,Sanyo,All World Connect,,,
0029-0000190-00-1049,9GA0824P1S61(611),9GA0824P1S61(611),Fan / Fan Guard / Fan Cable,FAN 80X38MM 24VDC AXIAL 470 MA,Sanyo,All World Connect,,,
0045-0000009-00-1049,LA7833,LA7833,IC / IC  Regulator / IC Hall,IC,Sanyo,All World Connect,,,
0055-0000001-00-1049,103-770-61 (1.8DEG 5.10V/1.0A),103-770-61 (1.8DEG 5.10V/1.0A),Motor/Motor Encoder/Motor Gear,STEPPER MOTOR DBL SHFT 8W,Sanyo,All World Connect,,,
0055-0000002-00-1049,103H546-0440,103H546-0440,Motor/Motor Encoder/Motor Gear,STEPPER MOTOR,Sanyo,All World Connect,,,
0055-0000003-00-1049,103H7123-0440,103H7123-0440,Motor/Motor Encoder/Motor Gear,STEPPER MOTOR,Sanyo,All World Connect,,,
0055-0000153-00-1049,P50N05020VXKCS,P50N05020VXKCS,Motor/Motor Encoder/Motor Gear,"MOTOR,DC,BRUSHLESS W/5K",Sanyo,All World Connect,,,
0055-0000190-00-1049,"RM26A3S, 2-PH, 3A/PH","RM26A3S, 2-PH, 3A/PH",Motor/Motor Encoder/Motor Gear,"STEPPER MOTOR RORZE,SANYO",Sanyo,All World Connect,,,
0055-0000218-00-1049,R2AA06040FXS00M,R2AA06040FXS00M,Motor/Motor Encoder/Motor Gear,"SERVO MOTOR, DC BRUSHLESS",Sanyo,All World Connect,,,
0055-0000221-00-1049,R2EA06040VXSKNM,R2EA06040VXSKNM,Motor/Motor Encoder/Motor Gear,"SERVO MOTOR, AC,400W",Sanyo,All World Connect,,,
0055-0000266-00-1049,R2AA06040FXKEAM/13660-7020-000,R2AA06040FXKEAM/13660-7020-000,Motor/Motor Encoder/Motor Gear,MOTOR_DC_BRUSHLESS_W_40K_LINE,Sanyo,All World Connect,,,
0022-0000002-00-1052,1027SN,1027SN,Copper Wire/Aluminium/Steel/Bu,"WIRE ROPE,.027D,48W,NYL,",Sava,All World Connect,,,
0022-0000003-00-1052,2019 X 250 FT,2019 X 250 FT,Copper Wire/Aluminium/Steel/Bu,"WIRE ROPE,.018DIA,SS,UNCO",Sava,All World Connect,,,
0077-0000172-00-1054,SW154-1.5-60-1KI-S-IC-1.6-TEI-,SW154-1.5-60-1KI-S-IC-1.6-TEI-,Sensor / Reader / Amplifer,TEMPERATURSENSOR 1.5X60 N,SAWI,All World Connect,,,
0056-0000523-00-1055,SAX-3508/UL2464 AWG22STR,SAX-3508/UL2464 AWG22STR,Multicore Cable,8 CORE CABLE UL2464 AWG22,Saxton,All World Connect,,,
0033-0000002-00-1057,FN9260S-10-06-20,FN9260S-10-06-20,Filter /  Noise Filter,"PEM,FILTER,M,3P,250VAC,10",Schaffner,All World Connect,,,
0033-0000008-00-1057,FN2030-8-06,FN2030-8-06,Filter /  Noise Filter,LINE FILTER 250V/1A L+N+E,Schaffner,All World Connect,,,
0033-0000009-00-1057,FN323B-3/01,FN323B-3/01,Filter /  Noise Filter,POWERLINE FILTERS IEC INL,Schaffner,All World Connect,,,
0033-0000010-00-1057,FN3258-100-35,FN3258-100-35,Filter /  Noise Filter,LINE FILTER 100A CE MC,Schaffner,All World Connect,,,
0033-0000011-00-1057,FN378-2/21,FN378-2/21,Filter /  Noise Filter,LINE FILTER,Schaffner,All World Connect,,,
0033-0000012-00-1057,FN9222-3-06,FN9222-3-06,Filter /  Noise Filter,POWERLINE FILTERS IEC INL,Schaffner,All World Connect,,,
0033-0000013-00-1057,FN9223-10-06/FN9222R-10-06,FN9223-10-06/FN9222R-10-06,Filter /  Noise Filter,POWER ENTRY MODULE FILTER,Schaffner,All World Connect,,,
0033-0000014-00-1057,FN9260-2/06,FN9260-2/06,Filter /  Noise Filter,POWERLINE FILTER,Schaffner,All World Connect,,,
0033-0000015-00-1057,FN9260S-10-06-10,FN9260S-10-06-10,Filter /  Noise Filter,"PEM,FLTER,M,3P,250VAC,10A",Schaffner,All World Connect,,,
0033-0000017-00-1057,FN 284-4-06 / KX 0024041,FN 284-4-06 / KX 0024041,Filter /  Noise Filter,PEM FLTER M 3P 110/250VAC 4A,Schaffner,All World Connect,,,
0033-0000018-00-1064,4301.6015,4301.6015,Filter /  Noise Filter,PWR ENT MOD RCPT IEC320-C14 PN,Schaffner,All World Connect,,,
0020-0001021-00-1058,FH2.8  (361285 ),FH2.8  (361285 ),Contact Terminal,FASTON TERM 2.8MMW 1.5MM,Schlegel,All World Connect,,,
0048-0000034-00-1058,T25DKL CLR,T25DKL CLR,Lamp / LED / LENS,LENS CONCAVE TRANSPARENT CLR,Schlegel,All World Connect,,,
0050-0000068-00-1058,L5.5K24G,L5.5K24G,Lamp / LED / LENS,LED GRN SCHLEGEL L5.5K,Schlegel,All World Connect,,,
0050-0000069-00-1058,L5.5K24R,L5.5K24R,Lamp / LED / LENS,LED RED SCHLEGEL L5.5K,Schlegel,All World Connect,,,
0050-0000070-00-1058,SL6T55KO-G24 GRN,SL6T55KO-G24 GRN,Lamp / LED / LENS,LED GRN SCHLEGEL L11B216,Schlegel,All World Connect,,,
0050-0000071-00-1058,SL6T55KO-R24 RED,SL6T55KO-R24 RED,Lamp / LED / LENS,LED RED SCHLEGEL L11B217,Schlegel,All World Connect,,,
0050-0000072-00-1058,T25DGN_104207 GRN,T25DGN_104207 GRN,Lamp / LED / LENS,LENS CONCAVE TRANSPARENT GRN,Schlegel,All World Connect,,,
0050-0000073-00-1058,W2x4.6/24V,W2x4.6/24V,Lamp / LED / LENS,FILAMENT LAMP 24V,Schlegel,All World Connect,,,
0050-0000090-00-1058,6T55KO-G-24 GRN,6T55KO-G-24 GRN,Lamp / LED / LENS,LED T5.5K 24V PURE GREEN,Schlegel,All World Connect,,,
0050-0000091-00-1058,6T55KO-R-24 RED,6T55KO-R-24 RED,Lamp / LED / LENS,LED T5.5K 24V ULTRA RED,Schlegel,All World Connect,,,
0050-0000092-00-1058,6T55KO-Y-24 YEL,6T55KO-Y-24 YEL,Lamp / LED / LENS,LED T5.5K 24V YELLOW,Schlegel,All World Connect,,,
0088-0000267-00-1058,T25DGN_NEU GRN,T25DGN_NEU GRN,Lamp / LED / LENS,LENS CONCAVE TRANSPARENT GRN,Schlegel,All World Connect,,,
0088-0000268-00-1058,T25DRT RED,T25DRT RED,Lamp / LED / LENS,LENS CONCAVE TRANSPARENT RED,Schlegel,All World Connect,,,
